,Nondurable goods,Services,Net foreign travel,Total Arrivals,Korea_total,Japan_total,US/Hawaii_total,Philippines_total,Taiwan_total,China_total,CNMI_total,FSM_total,Palau_total,Hong Kong_total,Russia_total,Other/Unknown_total,Korea_monthly,Japan_monthly,US/Hawaii_monthly,Philippines_monthly,Taiwan_monthly,China_monthly,CNMI_monthly,FSM_monthly,Palau_monthly,Hong Kong_monthly,Russia_monthly,Other/Unknown_monthly
2014,1113,2489,-940,1328537,308037,810856,68764,12079,49136,16280,14761.0,9216.0,3143.0,8180.0,16293.0,6066.0,25669.75,67571.33333333333,5730.333333333333,1006.5833333333334,4094.6666666666665,1356.6666666666667,1230.0833333333333,768.0,261.9166666666667,681.6666666666666,1357.75,505.5
2015,1067,2601,-969,1397783,427900,773019,70145,12427,42205,23698,14334.0,9893.0,3917.0,8406.0,3081.0,4340.0,35658.333333333336,64418.25,5845.416666666667,1035.5833333333333,3517.083333333333,1974.8333333333333,1194.5,824.4166666666666,326.4166666666667,700.5,256.75,361.6666666666667
2016,1083,2726,-1035,1483821,544960,745680,46917,21652,42229,27013,17579.0,11120.0,4792.0,9377.0,2588.0,5708.0,45413.333333333336,62140.0,3909.75,1804.3333333333333,3519.083333333333,2251.083333333333,1464.9166666666667,926.6666666666666,399.3333333333333,781.4166666666666,215.66666666666663,475.6666666666667
2017,1112,2821,-1031,1534672,685929,629370,77398,21011,31682,17941,20686.0,12770.0,4819.0,18545.0,4193.0,6179.0,57160.75,52447.5,6449.833333333333,1750.9166666666667,2640.1666666666665,1495.0833333333333,1723.8333333333333,1064.1666666666667,401.5833333333333,1545.4166666666667,349.4166666666667,514.9166666666666
2018,1160,2880,-1075,1534013,746986,563386,93269,19095,28031,13362,21955.0,14757.0,4032.0,6920.0,4904.0,11503.0,62248.833333333336,46948.833333333336,7772.416666666667,1591.25,2335.9166666666665,1113.5,1829.5833333333333,1229.75,336.0,576.6666666666666,408.6666666666667,958.5833333333334
2019,1224,3059,-1316,1687810,783397,684802,93407,20729,28216,11496,22988.0,16053.0,4331.0,5431.0,4012.0,6562.0,65283.083333333336,57066.833333333336,7783.916666666667,1727.4166666666667,2351.333333333333,958.0,1915.6666666666667,1337.75,360.9166666666667,452.5833333333333,334.3333333333333,546.8333333333334
2020,974,2276,-263,326353,124181,144240,33666,3297,4601,2050,5229.0,3704.0,781.0,487.0,489.0,2053.0,10348.416666666666,12020.0,2805.5,274.75,383.4166666666667,170.83333333333334,435.75,308.6666666666667,65.08333333333333,40.583333333333336,40.75,171.08333333333334
2021,965,2250,-106,78443,7975,4168,49666,2887,2267,172,3956.0,2893.0,461.0,27.0,47.0,1378.0,664.5833333333334,347.3333333333333,4138.833333333333,240.58333333333331,188.91666666666663,14.333333333333334,329.6666666666667,241.08333333333331,38.41666666666666,2.25,3.9166666666666665,114.83333333333331
2022,1180,2599,-463,324935,191325,23501,70430,8831,633,552,15845.0,5219.0,2431.0,246.0,100.0,2706.0,15943.75,1958.4166666666667,5869.166666666667,735.9166666666666,52.75,46.0,1320.4166666666667,434.9166666666667,202.58333333333331,20.5,8.333333333333334,225.5
